fu_element 1;fu_A1;fu_Z1;fu_element 2;fu_A2;fu_Z2;fu_element;fu_A;fu_Z;fu_MeV;fi_element;fi_A;fi_Z;element 1;fi_A1;fi_Z1;fi_element 2;fi_A2;fi_Z2;fi_MeV
C;12;6;Mg;24;12;Ar;36;18;16,2984;Yb;171;70;Ne;21;10;Nd;150;60;20,4193
C;13;6;Mg;25;12;Ar;38;18;24,6557;Yb;172;70;Ne;22;10;Nd;150;60;22,789
C;12;6;Mg;26;12;Ar;38;18;18,5051;Yb;170;70;S;34;16;Xe;136;54;55,6978
N;15;7;Mg;24;12;K;39;19;19,9703;Yb;170;70;Ar;40;18;Te;130;52;61,2886
N;14;7;Mg;25;12;K;39;19;23,6301;Yb;170;70;Ca;48;20;Sn;122;50;73,6877
N;15;7;Mg;25;12;K;40;19;20,437;Yb;170;70;Ca;46;20;Sn;124;50;70,7479
N;14;7;Mg;26;12;K;40;19;20,3299;Yb;172;70;Ca;48;20;Sn;124;50;73,548
N;15;7;Mg;26;12;K;41;19;19,4347;Lu;175;71;B;11;5;Dy;164;66;2,5663
O;16;8;Mg;24;12;Ca;40;20;16,181;Lu;175;71;N;15;7;Gd;160;64;12,7261
O;18;8;Mg;24;12;Ca;42;20;23,8248;Hf;174;72;Не;4;2;Yb;170;70;2,5868
O;17;8;Mg;25;12;Ca;42;20;24,5411;Hf;176;72;Не;4;2;Yb;172;70;2,3166
O;18;8;Mg;25;12;Ca;43;20;24,4238;Hf;177;72;Не;4;2;Yb;173;70;2,4005
O;16;8;Mg;26;12;Ca;42;20;17,5847;Hf;178;72;Не;4;2;Yb;174;70;2,0931
O;17;8;Mg;26;12;Ca;43;20;21,3731;Hf;180;72;Не;4;2;Yb;176;70;1,3665
O;18;8;Mg;26;12;Ca;44;20;24,462;Hf;176;72;B;11;5;Ho;165;67;1,9049
F;19;9;Mg;26;12;Sc;45;21;23,3591;Hf;174;72;C;13;6;Dy;161;66;9,6
Ne;22;10;Mg;24;12;Ti;46;22;22,1668;Hf;174;72;C;12;6;Dy;162;66;12,8453
Ne;21;10;Mg;25;12;Ti;46;22;25,2025;Hf;176;72;C;13;6;Dy;163;66;9,246
Ne;22;10;Mg;25;12;Ti;47;22;23,7224;Hf;176;72;C;12;6;Dy;164;66;11,9418
Ne;20;10;Mg;26;12;Ti;46;22;20,8655;Hf;177;72;C;13;6;Dy;164;66;10,5222
Ne;21;10;Mg;26;12;Ti;47;22;22,9911;Hf;174;72;N;15;7;Tb;159;65;14,1606
Ne;22;10;Mg;26;12;Ti;48;22;24,2449;Hf;174;72;O;18;8;Gd;156;64;17,6984
Mg;25;12;Mg;25;12;Cr;50;24;23,8733;Hf;174;72;O;17;8;Gd;157;64;16,0087
Mg;24;12;Mg;26;12;Cr;50;24;20,1063;Hf;174;72;O;16;8;Gd;158;64;19,7896
Mg;26;12;Mg;26;12;Cr;52;24;22,9781;Hf;176;72;O;18;8;Gd;158;64;17,1302
Н;1;1;Mn;55;25;Fe;56;26;10,1971;Hf;176;72;O;16;8;Gd;160;64;18,2713
D;2;1;Mn;55;25;Fe;57;26;15,6137;Hf;177;72;O;17;8;Gd;160;64;16,0459
